Sample:	'1
File name:	GF1_rw.FD3
Run Date:	10:22:54, 06/01/2016
Operator:	elisabeth
Comment:	'

Instrument
Model:	F-7000 FL Spectrophotometer
Serial Number:	1910-003
ROM Version:	5J14000 03

Instrument Parameters
Measurement type:	3-D Scan
Data mode:	Fluorescence
EX  Start WL:	200.0 nm
EX  End WL:	450.0 nm
EX Sampling Interval:	5.0 nm
EM  Start WL:	250.0 nm
EM  End WL:	600.0 nm
EM Sampling Interval:	2.0 nm
Scan speed:	12000 nm/min
EX Slit:	5.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	0.01 s
Corrected spectra:	On
Shutter control:	On
Contour interval:	10.000

Instrumental Response
EX (200 to 600nm)  Slit:5.0/20.0nm  PMT Voltage:400V
EM (200 to 600nm)  Slit:5.0/20.0nm  PMT Voltage:250V
EM (500 to 900nm)  None
EX (500 to 900nm)  None

Data Points
	200.000	205.000	210.000	215.000	220.000	225.000	230.000	235.000	240.000	245.000	250.000	255.000	260.000	265.000	270.000	275.000	280.000	285.000	290.000	295.000	300.000	305.000	310.000	315.000	320.000	325.000	330.000	335.000	340.000	345.000	350.000	355.000	360.000	365.000	370.000	375.000	380.000	385.000	390.000	395.000	400.000	405.000	410.000	415.000	420.000	425.000	430.000	435.000	440.000	445.000	450.000
250.0	140.4	77.27	98.41	28.41	48.44	108.9	432.5	184.7	53.16	 5327	9999.9	 8939	138.8	12.05	9.793	6.312	6.003	3.965	4.573	4.108	3.285	3.244	3.005	2.922	2.431	2.699	2.569	2.860	3.140	2.766	2.912	2.445	3.200	2.893	2.682	2.863	2.512	2.311	2.570	2.722	2.506	2.187	1.957	1.517	0.774	0.825	0.940	0.766	0.605	0.502	0.508
252.0	189.4	128.3	121.6	79.74	60.26	55.87	308.9	315.7	76.70	 1194	9999.9	9999.9	 2546	16.65	9.920	7.047	6.486	4.595	4.615	3.376	3.212	2.737	2.930	2.753	2.868	2.850	2.465	2.637	2.887	2.754	3.273	2.719	2.845	2.726	2.787	2.595	2.222	2.098	2.428	2.846	2.547	2.156	1.937	1.404	0.994	0.737	0.864	0.794	0.869	0.723	0.632
254.0	220.1	142.9	94.59	69.22	43.47	37.16	184.2	390.2	119.9	219.9	 6558	9999.9	 8245	163.1	12.13	8.007	6.769	5.152	3.710	3.495	3.972	2.925	2.733	2.967	2.796	3.147	2.822	2.383	2.921	2.470	2.758	3.099	2.579	2.405	2.580	2.610	2.466	2.402	2.346	2.556	2.133	2.414	2.011	2.021	1.238	0.989	0.514	1.000	0.664	0.702	0.721
256.0	306.6	133.7	113.9	76.61	56.54	37.63	90.11	368.0	228.7	77.53	 2068	9999.9	9999.9	 1339	13.73	9.251	8.304	5.766	6.080	4.772	4.135	2.618	3.255	3.043	2.925	3.153	2.841	2.657	2.678	2.857	3.092	2.887	2.945	2.611	2.789	2.679	2.490	2.469	2.155	2.262	2.227	2.390	2.154	1.829	1.555	0.920	0.848	0.787	0.672	0.712	0.585
258.0	171.9	128.2	107.9	85.19	51.27	39.66	52.94	275.4	336.7	74.89	422.2	9999.9	9999.9	 5591	45.60	10.80	9.065	6.271	5.818	4.618	4.103	3.957	3.195	3.534	2.775	2.857	2.789	2.833	2.890	2.555	3.113	2.577	2.847	2.805	2.461	2.854	2.335	2.289	2.127	2.069	2.065	2.189	2.242	1.810	1.763	1.289	0.983	0.687	0.593	0.875	0.640
260.0	224.3	91.27	127.0	96.39	70.62	39.66	37.10	158.5	406.4	119.7	94.30	 4021	9999.9	9999.9	485.9	13.37	9.362	7.023	5.140	4.707	4.337	4.012	3.013	3.814	2.603	3.298	2.591	2.795	2.518	2.720	2.950	2.707	2.828	2.852	2.690	2.816	2.631	2.572	2.172	2.148	2.289	2.298	2.128	2.195	1.737	1.493	1.031	0.793	0.705	0.737	0.655
262.0	246.7	117.9	116.1	94.28	60.14	50.47	40.93	81.17	374.8	225.2	53.76	 1001	9999.9	9999.9	 2978	20.06	11.22	7.014	5.982	5.482	4.653	3.975	3.782	3.836	3.082	2.754	2.743	2.762	2.837	2.599	2.588	2.426	2.915	2.712	2.485	2.282	2.323	2.537	2.098	2.085	2.107	2.136	2.584	2.352	1.742	1.439	1.096	0.872	0.844	0.722	0.765
264.0	266.0	193.5	111.0	68.08	48.81	41.83	38.71	45.90	264.1	333.4	64.59	185.2	 7342	9999.9	9999.9	166.3	13.05	9.543	7.837	5.716	4.864	4.479	4.215	3.112	3.296	2.544	3.210	3.151	3.062	3.077	2.845	2.682	2.520	2.475	2.725	3.115	2.483	2.509	2.112	2.064	2.271	2.103	2.217	2.129	1.886	1.803	1.248	1.035	0.802	0.792	0.859
266.0	228.5	121.4	139.9	85.38	66.19	40.76	36.18	39.54	148.1	426.3	131.5	61.73	 2340	9999.9	9999.9	 1479	16.80	12.27	8.973	6.749	5.649	4.959	4.335	3.289	2.847	3.354	2.788	2.877	2.860	2.726	2.745	2.776	2.791	2.909	2.706	2.941	2.718	2.351	2.262	1.913	2.424	2.103	2.024	2.130	2.156	1.723	1.647	1.229	0.928	0.725	0.652
