268.0	260.8	151.1	137.8	116.5	84.28	43.12	40.05	37.74	74.99	396.5	239.0	49.28	489.1	9999.9	9999.9	 6608	36.86	12.14	9.482	7.270	5.638	5.410	4.168	3.718	3.739	3.395	3.242	2.971	2.948	2.785	2.650	2.997	2.717	2.952	2.491	2.927	2.689	2.452	2.395	2.286	2.249	1.782	1.853	2.319	2.107	1.932	1.681	1.231	1.003	1.003	0.817
270.0	282.2	151.5	107.2	76.21	76.72	50.63	43.64	30.08	40.15	272.2	364.8	64.29	107.4	 4376	9999.9	9999.9	494.6	16.23	11.15	8.016	7.269	5.722	4.614	4.606	3.756	3.494	3.059	2.925	3.092	2.782	2.858	2.919	2.853	2.974	2.624	2.663	2.471	2.502	2.483	2.196	1.982	1.837	2.061	2.062	2.239	1.709	1.556	1.420	1.034	0.838	0.739
272.0	280.7	208.2	162.5	90.85	84.06	44.02	40.51	27.18	36.83	152.7	432.1	140.3	46.69	 1070	9999.9	9999.9	 3360	21.36	12.84	9.275	7.248	5.760	5.248	4.326	3.784	3.704	3.745	3.168	3.351	3.003	2.771	2.844	2.674	2.675	2.545	2.639	2.404	2.533	2.272	1.963	2.278	1.947	2.009	2.163	1.936	1.975	1.644	1.622	1.171	0.928	0.685
274.0	293.8	277.7	145.9	119.5	82.95	46.61	36.57	31.81	25.36	70.96	388.3	248.4	40.86	200.7	 7318	9999.9	9999.9	150.0	15.28	10.48	9.888	6.332	5.251	4.506	4.090	3.312	4.096	3.275	3.264	2.816	2.946	2.691	2.656	2.760	2.727	2.800	2.550	2.457	2.392	2.077	1.923	2.012	1.956	2.253	1.828	1.912	1.780	1.558	1.231	1.201	0.820
276.0	279.4	243.9	202.9	117.9	76.10	60.19	41.19	31.96	28.24	39.37	246.3	386.7	66.13	62.05	 2216	9999.9	9999.9	 1425	19.55	12.41	9.461	7.186	6.138	4.934	4.417	4.293	3.705	3.663	3.286	3.175	2.684	2.807	2.953	2.911	3.007	2.801	2.700	2.747	2.308	2.386	2.128	2.192	1.832	2.093	2.050	2.167	2.054	1.868	1.510	1.002	0.995
278.0	344.1	180.5	165.4	136.5	107.7	74.03	47.31	33.31	24.32	29.68	128.3	440.3	135.6	40.12	453.6	9999.9	9999.9	 7623	43.09	15.13	11.63	8.207	5.638	5.149	4.922	4.541	3.774	3.277	3.381	3.202	3.034	2.855	2.689	2.823	2.899	2.832	2.542	2.382	2.467	2.182	2.092	2.200	1.850	1.883	2.124	2.032	2.347	1.937	1.845	1.098	1.103
280.0	333.3	249.3	190.3	117.3	112.6	64.12	42.79	31.78	31.16	24.66	65.90	380.4	244.0	38.40	101.4	 3978	9999.9	9999.9	472.7	17.51	11.49	8.887	7.525	5.650	5.016	4.406	4.032	3.697	3.706	2.973	2.982	3.290	3.059	2.794	2.904	2.649	2.501	2.251	2.012	2.540	2.168	2.202	1.931	2.040	1.989	2.041	2.117	1.693	1.693	1.222	1.077
282.0	339.7	203.4	156.8	170.7	115.0	57.30	49.36	36.78	29.69	26.06	36.33	239.8	386.5	67.79	44.75	926.6	9999.9	9999.9	 3651	24.41	12.49	11.26	8.660	5.936	4.866	4.592	3.865	3.786	3.553	3.353	3.165	2.919	2.991	2.964	2.790	2.774	2.667	2.822	2.366	2.474	2.252	1.992	1.934	1.762	1.942	1.997	2.076	1.942	1.695	1.556	1.169
284.0	381.8	244.8	212.0	182.1	101.6	77.79	50.80	39.84	29.13	24.72	24.93	128.3	442.1	135.7	37.69	178.4	 7257	9999.9	9999.9	158.7	15.91	11.96	8.651	7.245	5.761	4.568	4.124	4.669	3.620	3.622	2.741	2.849	3.162	2.736	2.775	2.900	2.776	2.914	2.570	2.712	2.448	2.285	1.772	2.026	1.752	1.745	1.893	1.959	1.963	1.678	1.341
286.0	411.9	245.8	207.9	152.0	134.0	94.92	51.76	38.26	27.50	22.73	25.42	61.89	379.8	265.5	43.35	61.19	 2059	9999.9	9999.9	 1592	20.33	12.70	9.895	7.841	5.572	5.724	4.377	4.445	3.397	3.672	2.918	2.951	2.952	2.770	2.896	2.673	2.682	2.691	2.719	2.494	2.097	2.356	2.236	1.954	1.786	1.735	1.967	1.975	2.005	1.706	1.472
288.0	411.9	270.3	221.4	146.0	144.1	86.99	52.67	35.12	25.53	24.33	26.01	35.94	264.9	386.6	64.73	40.11	405.3	9999.9	9999.9	 8474	35.11	15.28	11.08	8.057	7.036	6.503	5.209	4.517	4.064	3.339	3.342	2.907	2.944	2.680	3.265	2.641	2.549	2.606	2.638	2.338	2.584	2.455	2.473	2.030	2.013	2.284	2.185	2.058	1.955	1.697	1.690
290.0	426.1	265.0	267.0	188.4	129.3	83.56	52.94	38.47	33.95	25.51	24.77	26.69	134.0	455.4	135.9	39.40	96.93	 4226	9999.9	9999.9	395.9	18.47	13.05	8.900	6.943	6.913	5.091	4.429	4.335	3.411	3.503	3.099	3.269	2.702	3.040	2.783	2.492	2.811	2.478	2.379	2.574	2.398	2.430	2.036	1.742	2.090	1.726	1.998	1.831	1.699	1.743
292.0	481.7	325.4	275.7	170.0	143.2	80.20	60.32	40.36	32.64	24.28	28.16	21.89	66.70	382.3	249.3	44.15	49.59	973.1	9999.9	9999.9	 3249	23.66	14.79	10.57	7.891	6.891	5.313	4.827	4.385	3.616	3.630	3.180	3.074	2.869	2.707	2.623	2.378	2.958	2.425	2.412	2.168	2.179	2.058	2.114	1.768	1.901	1.951	2.087	1.757	1.625	1.677
294.0	611.0	268.2	234.6	189.4	146.4	97.31	51.91	38.65	31.24	30.92	31.54	23.94	35.92	238.8	377.7	69.24	38.29	186.9	 7857	9999.9	9999.9	114.0	16.29	11.47	9.294	7.374	5.193	5.194	4.897	4.284	3.788	3.136	3.057	2.882	2.738	2.531	2.880	2.613	2.613	2.250	2.160	2.340	2.199	2.247	1.817	1.633	2.022	1.850	1.612	1.856	1.714
296.0	455.4	341.3	237.2	204.0	131.6	89.67	55.31	39.46	31.31	31.26	30.43	24.24	31.13	122.4	440.1	140.6	39.65	63.62	 2126	9999.9	9999.9	 1315	21.71	13.00	9.308	8.207	6.032	5.386	4.639	3.968	3.818	3.281	3.145	3.188	2.993	2.721	2.844	2.558	2.622	2.419	2.267	2.526	2.182	2.342	2.115	1.767	1.808	2.010	1.808	1.919	1.652
298.0	478.7	371.4	253.4	202.1	150.2	114.6	62.55	50.41	39.16	40.48	31.57	28.33	27.79	61.57	371.3	272.5	43.72	45.03	393.2	9999.9	9999.9	 8313	41.88	15.86	11.40	9.091	6.403	5.983	4.811	4.111	4.456	3.445	3.367	2.887	2.786	2.672	2.925	2.663	2.733	2.448	2.274	2.500	2.304	2.163	1.977	1.688	1.776	1.863	1.935	1.862	1.673
300.0	446.6	297.6	251.4	200.5	143.0	124.5	76.72	55.70	42.92	35.21	34.76	28.22	29.87	40.09	242.4	378.0	66.76	40.77	94.54	 3887	9999.9	9999.9	404.7	20.17	12.26	9.520	7.705	6.461	5.032	4.334	4.032	3.966	3.335	2.950	3.047	2.915	2.853	2.906	2.550	2.749	2.357	2.513	2.563	2.308	1.870	2.093	1.738	1.668	1.723	2.007	1.953
302.0	488.7	347.5	228.6	227.5	156.9	99.09	72.86	53.37	48.07	35.80	29.85	32.91	31.51	33.33	128.0	421.4	132.7	40.03	50.84	817.8	9999.9	9999.9	 3629	26.73	14.59	10.39	8.354	6.643	5.375	4.752	4.510	3.964	3.407	3.371	3.016	2.680	2.646	2.351	2.455	2.491	2.259	2.421	2.538	2.391	2.080	2.044	1.862	1.905	1.744	2.208	1.987
304.0	498.9	381.1	310.3	217.4	139.6	102.7	89.15	58.95	49.16	47.53	34.39	29.87	33.65	31.65	67.31	352.1	246.3	45.06	39.28	163.4	 8702	9999.9	9999.9	116.4	17.11	11.51	9.270	6.870	5.942	4.789	4.643	4.094	4.031	3.372	3.183	2.719	2.937	2.667	2.379	2.619	2.501	2.426	2.330	2.581	2.224	2.041	1.885	1.949	1.869	2.121	1.771
306.0	543.4	385.2	281.0	239.7	157.4	111.4	82.84	56.87	49.87	40.93	38.50	36.48	31.74	31.33	44.37	232.0	363.9	64.03	36.81	58.11	 2375	9999.9	9999.9	 1473	22.40	13.78	10.50	7.696	6.379	5.461	4.831	4.395	4.127	3.235	3.262	2.994	2.509	2.977	2.589	2.391	2.556	2.323	2.052	2.208	2.297	2.147	1.904	1.949	1.781	1.836	1.666
308.0	530.8	373.6	302.5	223.4	146.7	114.2	80.31	68.37	47.77	41.85	42.83	35.28	30.61	32.35	36.86	127.4	412.0	125.7	34.97	40.89	429.4	9999.9	9999.9	 9167	38.89	16.28	10.58	9.413	7.499	5.868	4.804	4.693	4.231	3.643	3.161	2.830	3.118	2.487	2.491	2.666	2.560	2.251	2.350	2.181	2.333	2.115	1.916	1.824	1.901	1.986	1.570
310.0	578.3	397.2	308.5	196.9	167.8	110.4	102.7	66.91	57.39	54.55	44.29	38.80	36.16	35.17	38.14	72.06	351.4	231.7	41.74	34.49	98.00	 4411	9999.9	9999.9	422.5	18.95	12.59	9.961	8.198	6.385	5.581	4.524	4.148	3.949	3.223	2.914	2.914	2.582	2.457	2.739	2.481	2.479	2.107	2.130	2.409	2.032	2.045	1.928	1.554	1.587	1.621
312.0	575.5	392.5	354.5	206.9	183.5	125.9	86.30	66.98	53.64	50.97	44.36	39.29	38.23	36.95	42.91	51.88	235.4	344.9	64.43	34.76	46.43	923.2	9999.9	9999.9	 3846	26.14	14.24	10.51	7.787	7.011	5.790	4.773	4.194	3.756	3.372	3.319	2.905	2.793	2.736	2.724	2.609	2.634	2.461	2.359	2.179	2.386	2.249	1.903	1.873	1.903	1.625
314.0	524.6	305.7	379.6	226.6	175.5	125.6	99.76	75.21	52.18	56.69	46.53	48.98	42.80	40.00	39.98	46.24	140.9	390.0	120.6	33.89	36.55	173.5	 8374	9999.9	9999.9	101.8	18.03	11.88	9.132	8.078	6.018	5.154	3.938	4.071	4.023	3.683	3.453	2.852	2.523	2.485	2.645	2.339	2.364	2.220	2.209	2.346	2.033	1.991	1.518	1.666	1.763
316.0	529.1	339.6	324.2	295.4	216.2	154.8	113.1	82.21	69.96	59.24	50.25	48.97	47.71	41.47	42.81	48.31	81.05	348.3	216.3	41.59	36.45	59.10	 2216	9999.9	9999.9	 1309	22.18	13.41	10.60	8.543	6.700	5.343	5.124	3.930	3.758	3.666	3.202	2.823	2.589	2.346	2.588	2.476	2.313	2.260	2.192	2.518	1.853	1.961	2.306	1.708	1.877
318.0	545.9	400.1	329.9	236.2	255.7	191.4	127.2	78.75	76.49	68.27	54.44	52.68	45.57	44.21	44.54	50.81	62.72	238.6	314.1	64.06	37.73	43.84	391.0	9999.9	9999.9	 8460	37.00	16.32	10.69	9.442	7.042	5.379	5.332	4.017	3.836	3.575	2.817	3.022	2.818	2.485	2.429	2.283	2.042	2.444	2.221	2.115	1.969	2.210	1.879	1.751	1.826
320.0	585.6	419.4	386.2	285.1	253.9	220.2	140.0	82.83	74.11	74.53	59.40	51.64	46.23	48.33	52.29	51.90	60.13	145.9	375.5	123.0	42.26	41.59	96.04	 4059	9999.9	9999.9	375.0	19.52	12.40	10.34	8.913	6.564	5.985	4.526	3.887	3.975	3.170	2.736	2.649	2.689	2.549	2.608	2.130	2.708	2.330	2.110	2.335	2.219	1.942	1.945	1.716
322.0	558.3	461.9	386.5	327.5	237.8	222.1	150.9	93.18	78.71	81.93	61.60	51.86	53.90	49.81	53.03	53.99	59.92	90.86	328.0	212.0	50.08	45.38	52.30	810.9	9999.9	9999.9	 3767	26.74	14.12	11.37	8.289	7.600	5.590	5.035	3.978	3.266	3.351	3.119	2.886	2.916	2.779	2.602	2.546	2.634	2.061	2.487	2.233	2.092	1.846	1.820	1.913
324.0	509.3	433.7	392.9	276.5	270.9	208.7	134.9	91.13	74.06	87.82	70.96	55.45	51.87	51.14	55.20	57.06	62.18	71.24	240.2	305.7	64.56	46.89	45.98	159.4	 8232	9999.9	9999.9	97.72	17.37	11.68	9.563	7.304	6.598	5.083	4.319	3.732	3.843	3.483	2.812	2.895	2.410	2.625	2.339	2.181	2.414	2.594	2.134	2.329	2.280	1.983	1.754
326.0	531.8	362.8	376.1	262.3	218.6	229.6	135.6	94.26	86.35	80.48	73.05	58.21	51.26	50.87	57.36	58.90	63.19	64.45	149.8	347.9	109.5	48.05	43.25	60.51	 2121	9999.9	9999.9	 1398	22.85	13.60	11.11	8.236	6.926	5.327	4.793	3.837	3.418	3.374	2.834	2.532	2.607	2.441	2.496	2.351	2.371	2.303	2.235	2.285	2.416	1.971	1.822
328.0	466.4	510.5	344.3	311.5	223.2	221.6	167.2	102.1	88.49	86.21	73.27	62.93	54.23	52.68	57.07	59.85	65.35	62.49	95.47	309.0	178.5	50.07	40.61	42.84	369.2	9999.9	9999.9	 8648	38.82	15.16	11.02	9.538	7.114	5.536	4.928	4.420	3.875	3.670	3.450	2.985	2.916	2.508	2.378	2.267	2.170	2.207	2.185	2.431	2.357	2.192	1.976
330.0	650.4	398.9	329.4	333.8	282.7	225.7	158.6	108.6	94.61	96.80	78.20	67.51	52.87	52.96	56.12	59.47	64.31	62.86	72.13	223.7	260.1	60.73	41.63	40.17	88.15	 4411	9999.9	9999.9	390.4	18.94	12.00	9.557	7.481	6.217	5.082	4.299	4.063	3.223	3.161	2.853	3.144	2.497	2.609	2.444	2.170	2.074	2.295	1.957	2.021	2.235	2.230
332.0	610.3	367.9	302.4	335.1	278.0	243.5	144.9	105.4	93.38	85.17	76.46	71.23	53.80	53.50	58.55	57.62	62.59	66.00	67.85	146.6	309.5	98.23	40.65	37.55	45.36	904.3	9999.9	9999.9	 3627	25.88	15.08	11.04	8.943	6.541	5.263	4.641	4.022	3.726	3.604	2.648	2.848	2.896	2.292	1.867	2.267	2.405	2.489	2.435	2.137	2.168	2.045
334.0	494.9	333.7	299.8	283.1	251.5	223.1	153.2	112.7	99.57	90.16	84.76	63.49	56.24	53.18	57.60	59.18	67.76	67.52	65.30	93.79	301.7	163.7	45.45	37.20	36.55	165.2	 8330	9999.9	9999.9	88.43	17.17	11.46	9.493	6.770	5.846	5.216	4.589	3.507	3.562	3.106	2.666	2.686	2.553	2.281	2.331	2.328	2.191	2.484	2.403	2.445	1.840
336.0	493.9	451.9	334.5	333.7	264.2	230.2	147.0	112.5	102.7	90.95	81.65	59.98	55.87	52.85	54.35	63.66	69.02	69.69	67.35	76.07	232.7	235.8	57.39	36.88	35.30	51.20	 2179	9999.9	9999.9	 1266	22.66	13.73	10.28	7.816	6.189	5.376	4.846	4.096	3.450	3.092	2.960	2.479	2.555	2.606	2.186	2.280	2.287	2.418	2.071	2.232	1.940
338.0	542.3	395.0	350.6	321.7	232.2	236.4	156.6	119.2	99.25	105.2	87.84	62.60	57.53	51.95	57.53	64.97	68.03	69.54	73.34	69.20	155.8	286.7	88.67	37.55	33.67	31.13	373.5	9999.9	9999.9	 8160	38.56	15.27	10.76	9.025	6.480	5.606	4.797	3.904	3.367	3.507	3.287	2.818	2.475	2.378	2.274	2.146	2.480	2.112	2.314	2.153	2.177
340.0	478.9	392.4	348.0	322.8	249.7	224.2	161.4	112.2	108.4	109.1	85.16	64.37	56.94	55.06	53.68	61.41	70.51	69.01	71.08	68.44	102.0	276.5	142.6	38.40	32.93	28.19	81.37	 4287	9999.9	9999.9	400.7	20.08	12.41	9.581	7.570	6.609	4.784	4.214	3.829	3.494	3.080	3.271	2.474	2.457	2.281	2.140	2.120	2.127	2.050	2.230	2.271
342.0	416.1	373.1	308.6	276.8	244.2	218.8	154.7	117.2	105.0	105.5	97.59	66.03	55.36	52.63	57.41	61.30	62.53	68.48	72.96	68.22	75.86	219.4	206.1	49.68	33.20	25.29	34.52	847.3	9999.9	9999.9	 3860	25.82	13.91	10.40	8.365	6.604	5.303	4.122	4.105	3.492	2.765	3.145	2.786	2.578	2.259	2.122	2.206	2.408	2.204	2.207	2.164
344.0	544.2	402.1	308.2	276.5	215.1	202.0	132.7	114.2	100.0	105.2	84.85	72.39	57.16	53.04	57.25	56.97	61.77	68.48	69.46	67.95	64.50	148.9	251.5	74.92	30.67	24.90	23.95	150.1	 7832	9999.9	9999.9	99.61	16.46	11.12	8.841	7.463	5.644	4.467	3.827	3.387	3.021	3.254	2.744	2.678	2.322	2.231	2.150	2.260	1.990	2.358	2.039
346.0	530.6	433.5	315.9	289.9	214.1	200.8	134.7	113.4	109.6	104.5	85.31	56.80	56.75	52.75	57.86	55.36	61.69	67.18	66.91	65.69	61.93	94.09	250.1	123.4	31.40	22.91	21.93	45.11	 2067	9999.9	9999.9	 1406	23.42	13.38	9.337	6.949	6.025	4.876	4.349	3.682	2.948	2.911	2.986	2.595	2.298	2.373	2.258	2.487	2.105	1.941	2.250
348.0	510.5	375.1	324.5	263.7	198.2	169.4	151.4	115.9	107.4	96.75	85.65	64.68	54.27	51.74	52.09	53.25	59.39	65.31	69.33	61.90	59.28	67.17	195.6	175.4	37.44	22.68	21.28	27.61	353.7	9999.9	9999.9	 8193	38.51	15.30	10.54	8.835	5.973	4.769	4.617	4.471	3.151	2.941	2.945	2.797	3.104	2.487	2.360	2.158	2.158	1.961	2.114
350.0	592.7	387.1	317.0	243.0	175.3	188.7	144.8	106.4	99.24	96.65	85.88	62.35	53.47	48.70	51.15	56.68	57.45	62.69	67.01	59.84	58.32	54.56	132.9	215.4	57.24	22.35	19.72	22.28	77.40	 4442	9999.9	9999.9	416.1	18.42	11.72	8.770	7.039	5.764	4.422	4.110	3.485	3.223	2.987	2.840	2.543	2.291	2.288	2.302	2.199	2.186	2.116
352.0	487.8	430.0	300.4	225.5	216.8	199.0	137.8	110.4	110.3	103.6	88.59	63.09	54.27	49.50	48.12	55.43	56.74	61.20	64.42	60.83	56.05	53.43	83.44	210.5	96.06	22.25	19.02	20.61	32.63	902.3	9999.9	9999.9	 3835	26.08	13.49	10.09	7.672	6.213	4.864	3.791	3.810	3.666	2.863	2.800	2.524	2.283	2.565	2.061	1.982	2.095	2.032
354.0	476.3	413.9	301.1	236.8	202.5	170.0	137.7	107.3	99.32	98.43	89.04	63.29	52.68	49.96	46.94	50.71	55.46	59.84	64.69	58.38	57.53	52.94	57.13	168.6	144.1	28.84	18.20	19.56	24.60	159.8	 7784	9999.9	9999.9	104.3	15.98	11.26	8.414	6.854	5.182	4.449	3.982	3.644	3.234	2.829	2.989	2.432	2.404	2.133	2.652	2.165	1.956
356.0	517.9	366.6	333.2	242.8	212.3	189.7	141.1	109.6	98.49	95.02	81.35	58.92	53.55	47.85	48.73	49.46	55.12	57.69	61.46	61.89	55.61	51.97	49.48	118.1	183.5	44.60	18.86	18.88	20.58	46.08	 2064	9999.9	9999.9	 1408	20.73	12.19	9.471	7.385	5.202	4.657	4.057	3.714	3.262	3.076	2.786	2.483	2.314	2.230	2.027	2.102	2.144
358.0	502.7	331.7	283.8	230.8	191.7	158.2	127.6	125.2	98.45	93.77	84.79	61.61	52.03	49.89	45.96	51.73	52.98	58.98	60.57	59.94	57.91	51.66	47.00	71.04	190.3	77.26	20.78	18.93	20.08	25.88	348.8	9999.9	9999.9	 8083	36.22	13.95	10.09	8.246	6.052	4.798	4.022	3.925	3.114	3.027	3.131	2.665	2.314	2.164	2.211	2.052	2.471
360.0	410.3	391.3	276.3	252.2	206.2	149.3	129.2	114.2	100.6	98.83	85.68	65.63	49.17	50.60	48.88	50.67	53.99	57.61	61.64	60.37	56.35	48.48	45.98	50.07	163.0	119.7	26.09	18.17	18.20	21.73	75.88	 4349	9999.9	9999.9	408.0	17.79	11.76	9.627	7.182	5.321	4.316	4.088	3.412	3.102	2.800	2.765	2.319	2.345	2.421	1.960	2.028
362.0	556.8	364.9	266.9	220.9	204.8	168.4	119.2	106.5	101.5	91.76	87.62	64.79	51.09	49.54	51.22	48.09	52.96	54.52	58.48	57.58	55.88	48.07	42.55	41.54	113.5	158.8	38.50	19.54	18.45	20.00	31.52	883.2	9999.9	9999.9	 3707	26.39	13.22	10.13	6.867	5.546	4.825	3.963	3.259	2.896	2.976	3.166	2.570	2.328	2.099	1.941	2.215
364.0	479.5	340.2	284.6	230.6	197.5	156.2	123.6	113.4	97.35	90.15	76.06	61.45	55.21	51.12	46.20	46.16	51.72	55.27	55.82	54.87	52.58	47.19	41.37	37.58	74.02	168.8	65.52	19.84	19.09	20.25	23.04	157.6	 7811	9999.9	9999.9	105.9	15.87	10.28	7.859	6.180	5.393	4.351	3.404	3.277	2.951	3.099	2.599	2.332	2.094	2.124	1.991
366.0	452.3	401.0	313.4	195.0	188.4	161.1	120.9	116.3	105.9	97.62	76.02	59.98	49.71	47.15	44.88	46.90	50.42	53.84	55.36	54.93	50.87	48.81	42.49	35.99	48.83	147.9	102.6	23.43	19.64	18.83	20.95	44.62	 2095	9999.9	9999.9	 1428	20.71	12.71	9.066	7.044	5.534	4.805	3.745	3.400	2.990	2.787	2.703	2.731	2.402	2.076	2.056
368.0	495.2	353.5	310.4	241.8	156.3	137.4	120.6	119.2	90.41	92.43	82.29	64.43	49.55	48.05	47.33	47.08	50.59	50.20	54.29	55.17	51.27	48.50	40.87	34.68	36.58	111.5	133.3	33.07	18.91	18.20	19.15	25.35	356.0	9999.9	9999.9	 7840	38.57	14.43	9.930	7.402	5.717	4.492	4.136	3.497	3.258	3.134	2.613	2.480	2.532	2.092	1.951
370.0	456.8	288.0	299.8	225.1	173.7	121.3	136.8	103.0	98.37	95.21	76.81	57.47	50.67	50.39	45.89	47.91	47.39	49.54	51.80	50.68	50.26	44.01	39.39	34.10	31.46	72.08	150.9	56.33	19.99	18.58	18.67	19.74	76.11	 4333	9999.9	9999.9	422.2	17.32	11.73	7.906	6.437	4.627	4.080	4.042	3.334	3.247	2.745	2.836	2.192	2.247	1.862
372.0	496.3	365.3	270.4	251.1	190.8	145.3	122.1	113.1	104.4	84.17	78.45	61.81	56.66	48.88	47.92	46.49	51.27	47.96	51.05	50.53	50.46	44.33	40.29	34.37	31.04	45.86	138.5	86.92	23.18	16.74	18.09	18.52	30.99	904.3	9999.9	9999.9	 3541	26.54	12.00	8.928	7.022	5.331	4.560	4.113	3.704	2.833	2.603	2.677	2.198	2.384	1.984
374.0	496.0	321.9	259.1	245.8	214.3	160.1	112.3	104.4	99.30	89.10	76.83	60.72	52.85	50.01	48.53	45.50	49.53	50.29	51.48	48.86	47.32	45.08	39.37	34.78	31.76	34.46	107.4	118.9	31.20	18.95	17.51	17.57	20.21	157.5	 7917	9999.9	9999.9	105.5	15.25	9.771	7.425	5.997	5.374	4.173	3.688	3.042	2.758	3.150	2.316	2.341	2.136
